N_kN,My_kNm,Mz_kNm,neutral_axis_depth_mm,neutral_axis_angle_deg,max_concrete_strain,max_steel_strain
-589.3717122291104,-1.2483839394048788,-0.5558163401015215,-563.3813259578985,246.0,0.021125473634817173,0.02
-589.3717122291104,-1.36174222770733,-0.44245687097418307,-537.690182511558,252.0,0.021125472898209777,0.02
-589.3717122291104,-1.4879292993315458,-0.3162691358740069,-506.1076633687427,258.0,0.0211254724843285,0.02
-589.3717122291104,-1.6326047286149077,-0.1715936714921929,-468.97978239651803,264.0,0.021125472462433827,0.02
-589.3717122291104,-1.8041988959181607,0.0,-426.71343140424153,270.0,0.021125472771724482,0.02
-589.3717122291104,-1.6326047283672542,0.1715936714661643,-468.9797825248961,276.0,0.021125472462263106,0.02
-589.3717122291104,-1.4879292995883635,0.31626913592858985,-506.10766321109793,282.0,0.021125472484522765,0.02
-589.3717122291104,-1.3617422277073263,0.44245687097418307,-537.6901825115598,288.0,0.021125472898209777,0.02
-589.3717122291104,-1.248383939404875,0.5558163401015177,-563.3813259579031,294.0,0.02112547363481717,0.02
-589.3717122291104,-1.1438180816466323,0.6603836773426532,-582.8997181783585,300.0,0.021125474557729666,0.02
-589.3717122291104,-1.0449803708519825,0.759222680354774,-596.0318024302011,306.0,0.0211254753638246,0.02
-589.3717122291104,-0.949379051038038,0.854824737126287,-602.6339467123879,312.0,0.02112547582354424,0.02
-589.3717122291104,-0.854824737126287,0.949379051038038,-602.6339467123879,318.0,0.02112547582354424,0.02
-589.3717122291104,-0.7592226803547815,1.0449803708519825,-596.0318024302038,324.0,0.021125475363824597,0.02
-589.3717122291104,-0.6603836773426458,1.1438180816466175,-582.8997181783681,330.0,0.021125474557729656,0.02
-589.3717122291104,-0.5558163401015215,1.2483839394048788,-563.3813259578986,336.0,0.021125473634817173,0.02
-589.3717122291104,-0.4424568709741868,1.36174222770733,-537.6901825115577,342.0,0.02112547289820978,0.02
-589.3717122291104,-0.3162691358740032,1.487929299331542,-506.1076633687427,348.0,0.021125472484328497,0.02
-589.3717122291104,-0.1715936714921929,1.6326047286149077,-468.97978239651803,354.0,0.02112547246243383,0.02
-513.1323993882761,-1.3969838619232178e-15,15.125918866671942,9.316298098849485,0.0,0.022594678041071337,0.02
-513.1323993882761,9.094596973417872,13.779293230417336,19.445614988014192,6.0,0.0226614238509733,0.02
-513.1323993882761,9.912758689889722,13.162473472475776,22.976776132509922,12.0,0.022675219416234117,0.02
-513.1323993882761,10.299588012167616,12.74146382691024,25.345689265293693,18.0,0.022681361514127862,0.02
-513.1323993882761,10.608736897881085,12.405687639714133,27.005618038357888,24.0,0.02268418486988425,0.02
-513.1323993882761,10.873598050548672,12.117460560875598,28.19396617014619,30.0,0.02268572358918965,0.02
-513.1323993882761,11.119720770423774,11.853263321992513,29.01255928921031,36.0,0.022686816682782326,0.02
-513.1323993882761,11.356083962882108,11.603694314027328,29.44217547066868,42.0,0.02268745515884114,0.02
-513.1323993882761,11.603694314027324,11.356083962882114,29.442175470668662,48.0,0.02268745515884114,0.02
-513.1323993882761,11.853263321992516,11.11972077042377,29.01255928921031,54.0,0.022686816682782326,0.02
-513.1323993882761,12.1174605608756,10.873598050548676,28.19396617014618,60.0,0.02268572358918965,0.02
-513.1323993882761,12.405687639714133,10.60873689788109,27.00561803835787,66.0,0.02268418486988425,0.02
-513.1323993882761,12.741463826910255,10.299588012167632,25.345689265293704,72.0,0.02268136151412786,0.02
-513.1323993882761,13.162473472475797,9.912758689889744,22.976776132509897,78.0,0.022675219416234113,0.02
-513.1323993882761,13.779293230417307,9.094596973417852,19.445614988014174,84.0,0.022661423850973295,0.02
-513.1323993882761,15.125918866671938,-3.725290298461914e-15,9.316298098849481,90.0,0.022594678041071337,0.02
-513.1323993882761,13.779293230417304,-9.094596973417849,19.445614988014132,96.0,0.0226614238509733,0.02
-513.1323993882761,13.162473472475781,-9.912758689889722,22.976776132509894,102.0,0.022675219416234117,0.02
-513.1323993882761,12.74146382691024,-10.299588012167618,25.345689265293668,108.0,0.022681361514127855,0.02
-513.1323993882761,12.405687639714124,-10.60873689788108,27.005618038357852,114.0,0.02268418486988425,0.02
-513.1323993882761,12.1174605608756,-10.873598050548672,28.19396617014616,120.0,0.02268572358918965,0.02
-513.1323993882761,11.853263321992518,-11.119720770423777,29.012559289210277,126.0,0.022686816682782333,0.02
-513.1323993882761,11.60369431402731,-11.356083962882094,29.44217547066865,132.0,0.02268745515884114,0.02
-513.1323993882761,11.356083962882096,-11.60369431402731,29.44217547066864,138.0,0.02268745515884114,0.02
-513.1323993882761,11.11972077042379,-11.853263321992532,29.012559289210273,144.0,0.02268681668278233,0.02
-513.1323993882761,10.873598050548676,-12.117460560875598,28.19396617014613,150.0,0.02268572358918965,0.02
-513.1323993882761,10.608736897881059,-12.405687639714104,27.00561803835779,156.0,0.022684184869884248,0.02
-513.1323993882761,10.299588012167598,-12.74146382691022,25.345689265293636,162.0,0.022681361514127862,0.02
-513.1323993882761,9.912758689889717,-13.162473472475773,22.976776132509862,168.0,0.022675219416234117,0.02
-513.1323993882761,9.094596973417847,-13.779293230417293,19.445614988014135,174.0,0.022661423850973295,0.02
-513.1323993882761,3.864988684654236e-14,-15.12591886667192,9.316298098849474,180.0,0.02259467804107134,0.02
